epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,9.62111,0.99439,1.11877,3.94868,0.9447,0,0.00333,1,0.05513,0.04688,0.00333,1,0.09885,0.08604,0.58285,0.49179,3.65881,0.83758,0,2e-05,2e-05,2e-05
2,18.3084,0.70931,1.05326,3.86912,0.84351,0,0.00333,1,0.07357,0.06051,0.00333,1,0.14183,0.1202,0.42712,0.46468,3.64297,0.81804,0,5.9406e-05,5.9406e-05,5.9406e-05
3,25.7358,0.71432,1.00921,3.62706,0.85274,0,0.00333,1,0.41037,0.2793,0.00333,1,0.48401,0.41405,0.46529,0.45683,3.6492,0.82161,0,9.802e-05,9.802e-05,9.802e-05
4,33.1604,0.84283,0.72525,3.18159,0.87967,0,0.00333,1,0.95539,0.72158,0.00333,1,0.95539,0.83354,0.51653,0.42542,3.57312,0.82723,0,0.000135842,0.000135842,0.000135842
5,40.4397,0.76615,0.50189,2.24985,0.82226,0,0.00333,1,0.985,0.80477,0.00333,1,0.985,0.85886,0.53107,0.37319,3.53307,0.80385,0,0.000172872,0.000172872,0.000172872
6,47.884,0.7518,0.45968,1.96906,0.85204,0,0.00333,1,0.8959,0.69595,0.00333,1,0.8959,0.77172,0.5657,0.33861,3.43269,0.81738,0,0.00020911,0.00020911,0.00020911
7,55.2542,0.59341,0.46384,1.79778,0.82804,0,0.00333,1,0.68561,0.46422,0.00333,1,0.6858,0.56946,0.56545,0.40219,3.38829,0.82831,0,0.000244556,0.000244556,0.000244556
8,62.7098,0.58504,0.68672,1.52154,0.77191,0,0.00333,1,0.01016,0.00849,0.00333,1,0.01016,0.00951,0.6496,0.37221,3.46304,0.84696,0,0.00027921,0.00027921,0.00027921
9,69.7993,0.67495,0.49572,1.55982,0.82261,0,0.00333,1,0.01023,0.00853,0.00333,1,0.01023,0.00973,0.65245,0.31004,3.47277,0.84175,0,0.000313072,0.000313072,0.000313072
10,76.8371,0.72981,0.40896,1.57569,0.84691,0,0.00333,1,0.01048,0.00873,0.00333,1,0.01048,0.00966,0.56782,0.28467,3.44822,0.82983,0,0.000346142,0.000346142,0.000346142
11,84.1135,0.4953,0.35269,1.46622,0.83438,0,0.00333,1,0.01069,0.009,0.00333,1,0.01069,0.00945,0.47974,0.28679,3.47718,0.82092,0,0.00037842,0.00037842,0.00037842
12,91.4344,0.62108,0.37967,1.51304,0.82795,0,0.00333,1,0.01098,0.00961,0.00333,1,0.01098,0.00983,0.4707,0.32098,3.52943,0.81977,0,0.000409906,0.000409906,0.000409906
13,98.6896,0.67049,0.62978,1.49913,0.83157,0,0.00333,1,0.0109,0.00995,0.00333,1,0.0109,0.0098,0.48798,0.37158,3.50356,0.82458,0,0.0004406,0.0004406,0.0004406
