epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,100.404,0.82966,1.45781,1.60051,0.93414,0,0.9958,0.77232,0.91847,0.76738,0.99265,0.76988,0.91367,0.7124,0.7139,1.52552,1.75335,0.90284,0,0.000649123,0.000649123,0.000649123
2,195.177,0.73179,1.06265,0.75688,0.9002,0,0.94806,0.89088,0.95646,0.80263,0.94672,0.88925,0.95943,0.79173,0.6655,1.02512,0.98485,0.86539,0,0.00130276,0.00130276,0.00130276
3,290.928,0.65822,0.9746,0.68573,0.88146,0,0.9651,0.95277,0.98782,0.83053,0.95414,0.94544,0.97236,0.74873,0.60101,1.31619,0.78211,0.86115,0,0.0019432,0.0019432,0.0019432
4,386.392,0.6648,0.97579,0.65702,0.8821,0,0.96961,0.95521,0.9882,0.83266,0.97044,0.95603,0.98855,0.79096,0.60655,0.79146,0.61262,0.88174,0,0.0019406,0.0019406,0.0019406
5,483.619,0.66304,0.86406,0.62421,0.87714,0,0.98237,0.95286,0.99135,0.8332,0.98405,0.95458,0.99068,0.80315,0.59611,0.72152,0.59133,0.86458,0,0.0019208,0.0019208,0.0019208
6,578.232,0.62466,0.78822,0.6076,0.86758,0,0.97926,0.96906,0.99245,0.85682,0.9797,0.96987,0.99264,0.83588,0.52214,0.61239,0.53425,0.8507,0,0.001901,0.001901,0.001901
7,670.194,0.57225,0.75027,0.56108,0.86508,0,0.98125,0.9601,0.99263,0.87853,0.96342,0.98046,0.9928,0.84811,0.49309,0.62873,0.52043,0.84207,0,0.0018812,0.0018812,0.0018812
8,760.911,0.57328,0.73006,0.54615,0.85666,0,0.98267,0.97231,0.99302,0.87102,0.98509,0.96857,0.99356,0.85308,0.49864,0.58572,0.49028,0.8458,0,0.0018614,0.0018614,0.0018614
9,854.903,0.56884,0.72485,0.52926,0.85215,0,0.97787,0.9715,0.99274,0.85913,0.9779,0.9728,0.99304,0.82447,0.53571,0.60123,0.49733,0.86181,0,0.0018416,0.0018416,0.0018416
10,947.142,0.57194,0.72343,0.51115,0.85351,0,0.97561,0.97731,0.99279,0.86335,0.97805,0.97976,0.99372,0.81193,0.55044,0.65051,0.4854,0.86211,0,0.0018218,0.0018218,0.0018218
11,1038.59,0.55464,0.66915,0.49598,0.84901,0,0.98757,0.97035,0.99357,0.89151,0.98761,0.97361,0.99378,0.86654,0.46579,0.53874,0.45712,0.83324,0,0.001802,0.001802,0.001802
12,1129.59,0.53909,0.71023,0.48792,0.84467,0,0.98673,0.96888,0.99348,0.87606,0.98922,0.97133,0.99378,0.83003,0.50092,0.6067,0.44053,0.84452,0,0.0017822,0.0017822,0.0017822
13,1221.99,0.51548,0.63842,0.46072,0.84211,0,0.9867,0.96627,0.9936,0.88449,0.98195,0.97457,0.99384,0.83213,0.49001,0.58673,0.43524,0.83963,0,0.0017624,0.0017624,0.0017624
14,1313.54,0.51609,0.6589,0.45009,0.84057,0,0.98182,0.97557,0.99385,0.89365,0.98346,0.9772,0.99403,0.84107,0.46247,0.54652,0.44186,0.841,0,0.0017426,0.0017426,0.0017426
15,1406.3,0.5217,0.64712,0.44935,0.84465,0,0.98414,0.97964,0.99392,0.89484,0.98659,0.98208,0.99436,0.85588,0.45901,0.5211,0.41866,0.8347,0,0.0017228,0.0017228,0.0017228
16,1497.71,0.51289,0.63613,0.44363,0.84072,0,0.97129,0.95358,0.99096,0.91103,0.97295,0.95521,0.99169,0.85963,0.41238,0.48271,0.4202,0.82672,0,0.001703,0.001703,0.001703
17,1589.38,0.51207,0.64191,0.43337,0.84186,0,0.91025,0.96254,0.92995,0.8549,0.91008,0.9658,0.93039,0.81056,0.41782,0.48817,0.4938,0.83047,0,0.0016832,0.0016832,0.0016832
18,1682.08,0.50133,0.62259,0.41859,0.83577,0,0.97652,0.98217,0.99394,0.91576,0.97571,0.98135,0.99369,0.85609,0.41104,0.48094,0.38449,0.82805,0,0.0016634,0.0016634,0.0016634
19,1774.75,0.49846,0.6229,0.41421,0.83784,0,0.98919,0.96866,0.99398,0.89513,0.98439,0.97599,0.99415,0.85455,0.45365,0.47182,0.388,0.83102,0,0.0016436,0.0016436,0.0016436
20,1866.88,0.50248,0.61151,0.40753,0.83672,0,0.99167,0.96977,0.99384,0.89994,0.99334,0.9722,0.99402,0.84518,0.45146,0.49136,0.37822,0.83397,0,0.0016238,0.0016238,0.0016238
21,1958.73,0.51277,0.62265,0.40416,0.83572,0,0.98595,0.96906,0.9939,0.91196,0.98888,0.9715,0.99427,0.84561,0.44045,0.49542,0.38816,0.83214,0,0.001604,0.001604,0.001604
22,2049.84,0.47746,0.5943,0.38991,0.82795,0,0.98034,0.97456,0.99393,0.92795,0.98362,0.97782,0.99415,0.88216,0.38916,0.45981,0.35595,0.82374,0,0.0015842,0.0015842,0.0015842
23,2141.63,0.49014,0.61124,0.38899,0.83439,0,0.98265,0.96824,0.99397,0.92592,0.98805,0.9715,0.99411,0.8674,0.38078,0.46184,0.35677,0.82362,0,0.0015644,0.0015644,0.0015644
24,2232.62,0.49065,0.59944,0.38682,0.83279,0,0.97963,0.97921,0.99368,0.9232,0.98205,0.98042,0.99392,0.86158,0.37902,0.47248,0.35238,0.8216,0,0.0015446,0.0015446,0.0015446
25,2324.47,0.49546,0.60186,0.38286,0.8313,0,0.98441,0.97677,0.99369,0.87667,0.98943,0.9772,0.99382,0.82538,0.51193,0.5349,0.38135,0.84362,0,0.0015248,0.0015248,0.0015248
26,2415.05,0.48332,0.58967,0.38068,0.83404,0,0.98587,0.96611,0.99185,0.90423,0.9892,0.96936,0.99276,0.84899,0.44327,0.48453,0.38704,0.83147,0,0.001505,0.001505,0.001505
27,2505.39,0.46836,0.56872,0.37659,0.83183,0,0.9836,0.97674,0.99406,0.91901,0.98564,0.97964,0.99419,0.85366,0.40106,0.49347,0.34533,0.82352,0,0.0014852,0.0014852,0.0014852
28,2598.43,0.46517,0.57528,0.37233,0.8274,0,0.979,0.98686,0.99434,0.92726,0.98214,0.98511,0.99441,0.88222,0.38546,0.43138,0.34278,0.82118,0,0.0014654,0.0014654,0.0014654
29,2694.59,0.4613,0.60061,0.36886,0.82475,0,0.97939,0.9886,0.99433,0.92815,0.98383,0.98534,0.99459,0.85937,0.38709,0.48023,0.34845,0.82359,0,0.0014456,0.0014456,0.0014456
30,2790.98,0.45773,0.54234,0.36171,0.82878,0,0.98682,0.97584,0.99408,0.9307,0.9903,0.98046,0.99452,0.88601,0.37979,0.40255,0.33493,0.81932,0,0.0014258,0.0014258,0.0014258
31,2904.16,0.44476,0.54159,0.35158,0.82643,0,0.98548,0.97801,0.99417,0.93147,0.98688,0.98043,0.99428,0.87315,0.40262,0.41601,0.34102,0.82426,0,0.001406,0.001406,0.001406
32,3011.99,0.44793,0.56713,0.35835,0.82767,0,0.91932,0.95195,0.97837,0.91374,0.92406,0.95128,0.97893,0.86332,0.37304,0.4226,0.36262,0.82013,0,0.0013862,0.0013862,0.0013862
33,3125.3,0.43223,0.53872,0.34514,0.81977,0,0.98846,0.97647,0.99439,0.92869,0.98954,0.97883,0.99454,0.88235,0.39051,0.42178,0.32237,0.82051,0,0.0013664,0.0013664,0.0013664
34,3231.98,0.42512,0.53196,0.34502,0.82064,0,0.98046,0.98052,0.99408,0.90574,0.98128,0.98162,0.99425,0.83896,0.43844,0.57337,0.33067,0.82892,0,0.0013466,0.0013466,0.0013466
35,3335.59,0.42401,0.52847,0.34189,0.82075,0,0.98927,0.97231,0.9941,0.93178,0.99093,0.97394,0.99423,0.88359,0.36691,0.38504,0.33018,0.81682,0,0.0013268,0.0013268,0.0013268
36,3442.94,0.41726,0.53016,0.33894,0.81977,0,0.98609,0.97801,0.99412,0.9294,0.99061,0.97883,0.99448,0.8779,0.38025,0.41345,0.32123,0.8204,0,0.001307,0.001307,0.001307
37,3547.53,0.42641,0.51738,0.34198,0.82015,0,0.99021,0.9658,0.99367,0.91826,0.99014,0.96824,0.99406,0.87732,0.41495,0.42076,0.33302,0.82339,0,0.0012872,0.0012872,0.0012872
38,3652.53,0.44272,0.52072,0.34731,0.82423,0,0.97876,0.97586,0.99379,0.9326,0.98203,0.97912,0.99428,0.87365,0.37046,0.38712,0.32072,0.81829,0,0.0012674,0.0012674,0.0012674
39,3761.55,0.42427,0.49497,0.33984,0.82271,0,0.98165,0.98127,0.99398,0.94156,0.98613,0.98406,0.99452,0.89854,0.36372,0.37764,0.31358,0.81573,0,0.0012476,0.0012476,0.0012476
40,3865.86,0.39289,0.46727,0.3283,0.81575,0,0.99171,0.97448,0.99402,0.92719,0.98631,0.98453,0.99448,0.87379,0.3961,0.51725,0.31585,0.82232,0,0.0012278,0.0012278,0.0012278
41,3971.02,0.39479,0.4647,0.32213,0.81293,0,0.98611,0.98294,0.99449,0.93261,0.9933,0.98127,0.99464,0.89086,0.37543,0.40664,0.31148,0.81974,0,0.001208,0.001208,0.001208
